,nearest stattion,number of stops within 2kms
904,1483.4782087414262,1
905,1641.081186172312,3
906,Nothing within a 2km radius,0
907,Nothing within a 2km radius,0
908,Nothing within a 2km radius,0
909,377.2128275697625,16
910,127.42554041227498,15
911,1058.7041304065879,8
912,1364.1732359110122,3
913,1641.081186172312,3
914,716.0831746502049,9
915,749.1099381381797,4
916,252.5124246391418,15
917,1641.081186172312,3
918,Nothing within a 2km radius,0
919,1364.1732359110122,3
920,562.298408643597,4
921,238.2502280308614,15
922,560.2116495069697,19
923,1641.081186172312,3
924,459.00386487393337,20
925,1364.1732359110122,3
926,950.5649850519762,9
927,420.45582445206435,4
928,1144.2303097071742,5
929,459.00386487393337,20
930,1058.7041304065879,8
931,Nothing within a 2km radius,0
932,1058.7041304065879,8
933,627.7403521102959,19
934,609.489238814535,13
935,1604.1138142854468,2
936,1429.639968630519,3
937,1931.1803938638286,1
938,Nothing within a 2km radius,0
939,1582.9845767735653,3
940,1058.7041304065879,8
941,614.8142530797812,17
942,1364.1732359110122,3
943,493.2320729833961,4
944,627.7403521102959,19
945,1245.3791914875464,3
946,560.2116495069697,19
947,609.489238814535,13
948,1751.7617075750022,2
949,359.2486761454344,14
950,289.7110046839627,3
951,Nothing within a 2km radius,0
952,1961.6171098635286,1
953,1871.736330111935,1
954,1356.1741353712216,3
955,560.2116495069697,19
956,815.9774797757862,3
957,552.6503291048184,18
958,999.6975019464227,7
959,1961.6171098635286,1
960,585.6633518022207,12
961,1144.2303097071742,5
962,935.4697311300764,8
963,585.6633518022207,12
964,1058.7041304065879,8
965,1322.2158259549415,2
966,1016.8785299647445,6
967,546.5320632329945,18
968,229.7149162706704,17
969,Nothing within a 2km radius,0
970,915.5356870600149,4
971,1016.8785299647445,6
972,1018.1504548110277,6
973,Nothing within a 2km radius,0
974,1533.747614552835,1
975,820.626039811182,17
976,Nothing within a 2km radius,0
977,1308.8987115150435,5
978,1582.9845767735653,3
979,556.489573562436,5
980,1892.4566568532894,1
981,1968.8433827533615,1
982,450.17410874727835,18
983,Nothing within a 2km radius,0
984,Nothing within a 2km radius,0
985,Nothing within a 2km radius,0
986,815.9774797757862,3
987,1314.8587495978472,1
988,1322.2158259549415,2
989,Nothing within a 2km radius,0
990,1871.736330111935,1
991,1414.6406688424765,1
992,Nothing within a 2km radius,0
993,Nothing within a 2km radius,0
994,815.9774797757862,3
995,1931.1803938638286,1
996,493.2320729833961,4
997,1422.4865376070723,1
998,823.3307786298608,10
999,751.9052243100687,16
