nearest stattion,number of stops within 2kms
1280.534464,2
413.3317814,2
1227.374426,3
285.3727397,4
687.3755773,3
1201.156202,3
512.7295119,3
1171.274512,2
1011.346093,4
169.5737915,2
543.0249132,4
1082.862789,2
1542.898858,3
710.4174122,3
794.550799,2
872.0040496,3
845.1645826,2
942.744942,4
764.5574297,3
844.761335,3
1060.775759,1
941.6984577,5
1532.742803,4
0,0
1086.089617,5
1086.089617,5
1187.877114,3
1245.241867,3
1579.222293,3
749.8939533,3
749.8939533,3
1677.249888,1
1308.355958,3
896.7427335,2
1579.844156,3
1499.199501,3
544.5708717,2
292.7667481,4
850.2295586,3
1146.203722,2
1501.579746,5
1501.579746,5
1253.02737,5
1051.65293,3
1540.782732,5
370.661862,2
1459.404221,2
864.5618861,1
484.263015,3
307.7359561,2
157.0198481,5
810.2813279,1
623.0642099,3
1139.91484,3
1227.374426,3
375.662423,3
1044.097623,1
1706.773852,1
1044.097623,1
375.662423,3
894.1083131,3
512.7295119,3
71.48014145,2
1227.374426,3
1308.599344,2
1109.906969,2
896.7427335,2
850.2295586,3
672.6382787,1
347.4062787,2
1202.533188,5
910.9760387,4
786.9365606,3
1170.266984,3
1676.974938,2
713.5989656,1
687.3755773,3
589.0420824,3
549.5129672,3
803.3937342,2
951.6405627,3
1121.788122,1
1253.02737,5
347.4062787,2
517.8605566,4
1452.448098,1
687.3755773,3
505.5175087,2
71.48014145,2
633.3911483,3
968.9738117,1
71.48014145,2
492.3828776,3
910.9760387,4
1525.03841,1
1739.968688,1
1540.766059,2
279.6492287,4
856.113252,1
736.846725,2
629.3934111,2
894.1083131,3
1143.883121,3
894.1083131,3
913.9145086,3
1253.02737,5
157.5043087,2
1227.374426,3
283.5379324,1
1327.347027,1
1290.784445,1
378.8499458,4
1257.821266,3
1197.095445,2
1035.362088,3
887.9657946,2
1542.898858,3
1958.586098,1
1264.776425,1
1011.346093,4
1311.987836,2
787.6906375,3
1258.432542,2
1509.767774,2
1100.280353,2
943.1019994,2
1044.457503,2
125.4870525,4
1420.901683,1
653.0943532,2
910.9760387,4
294.2698542,2
972.8693341,2
274.9582428,2
577.9526503,3
1021.880644,2
1701.249696,2
0,0
403.1447863,4
1594.759075,1
274.9582428,2
1335.156357,2
1396.360655,2
215.0022112,3
1212.651078,3
733.5623989,4
1396.360655,2
1434.195671,2
0,0
1403.813965,2
0,0
910.9760387,4
0,0
1007.336598,3
498.0584539,3
708.9856613,2
274.9582428,2
1684.424603,2
503.5857931,1
1396.360655,2
1465.340867,1
1325.677928,2
1325.677928,2
1325.677928,2
1325.677928,2
1288.961505,1
1055.236777,4
1325.677928,2
1325.677928,2
1464.221319,2
488.687747,2
202.5360863,3
1179.397374,2
1501.579746,5
1488.026542,4
0,0
1501.579746,5
958.9925711,2
1501.579746,5
1550.098825,3
1501.579746,5
713.5989656,1
819.1185486,3
819.1185486,3
1765.714875,2
819.1185486,3
929.7290962,2
1061.677855,1
464.3627716,2
1592.912508,1
1075.06431,1
1598.408007,1
444.3738077,2
71.48014145,2
369.5245986,2
665.6453929,3
1343.839104,1
420.5453102,4
1676.513739,3
1258.621791,1
521.9711265,2
792.3168757,1
700.8796594,4
79.1416245,2
1532.584138,2
1163.48343,2
723.5201046,2
1254.786844,5
620.4159933,4
240.182149,4
285.3727397,4
71.48014145,2
837.5213228,1
756.3627666,3
1041.312444,3
756.3627666,3
1163.48343,2
1598.408007,1
1289.186879,3
965.1286485,2
1598.408007,1
1598.408007,1
709.663426,2
444.3738077,2
425.8463761,3
425.8463761,3
1122.306699,1
125.4870525,4
1285.349992,2
71.48014145,2
499.6321236,2
534.822844,3
959.3036649,3
1673.793833,2
746.1970844,3
436.4795817,4
803.3937342,2
687.4160205,3
609.0217285,2
1821.355506,2
1144.768532,2
1015.465561,2
497.9913675,3
589.0420824,3
1140.550535,3
847.602761,2
734.8873723,3
225.8045218,2
236.8007489,3
1519.514383,1
964.4414415,2
1350.054821,2
1327.347027,1
71.48014145,2
1751.942952,2
1001.918181,2
962.4468239,3
1318.138735,4
488.687747,2
1716.78896,1
1774.707657,1
106.7778853,2
416.8493685,3
1050.936296,2
962.4468239,3
219.4579228,2
1144.768532,2
1608.221185,2
1122.306699,1
1814.958947,1
1371.176638,1
149.5433964,4
653.0943532,2
1319.137509,6
959.3036649,3
1239.130708,5
498.0584539,3
590.6814408,2
498.0584539,3
1223.404109,1
1184.559176,4
71.48014145,2
890.8001747,3
416.8493685,3
1234.666956,2
416.8493685,3
1428.589429,3
619.9349887,3
845.0965155,3
534.822844,3
480.6696042,3
610.3494647,3
1592.912508,1
534.822844,3
1282.63633,4
468.6649129,3
549.5129672,3
709.663426,2
435.970196,1
1775.478546,1
1386.231047,5
427.7833522,1
548.9101197,4
869.0117284,3
869.0117284,3
855.702662,3
480.6696042,3
1837.936697,1
1211.04411,1
1219.012723,2
514.6937711,3
800.2820043,2
660.2559631,2
959.3036649,3
959.3036649,3
959.3036649,3
441.5533805,4
240.182149,4
240.182149,4
108.3995032,4
1066.252478,5
480.6696042,3
1520.044541,2
709.632707,1
825.3747579,3
825.2131008,2
1554.00738,2
1361.839192,1
139.6097852,4
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
243.4398497,23
554.4892534,15
527.2845594,20
356.4269362,16
245.7597869,21
245.7597869,21
79.32325184,20
124.6374546,20
79.32325184,20
79.32325184,20
495.6388614,14
495.6388614,14
391.2772505,8
295.8867447,27
338.5377492,21
476.3967943,25
245.5593394,28
703.9577748,15
572.3852308,16
572.3852308,16
572.3852308,16
572.3852308,16
572.3852308,16
368.5767593,14
265.4618398,8
234.8618601,8
468.2575098,13
487.191446,13
265.4618398,8
581.4698975,16
593.3499291,9
234.8618601,8
265.4618398,8
175.1600609,12
265.4618398,8
265.4618398,8
234.8618601,8
265.4618398,8
352.1469027,19
352.1469027,19
576.5301277,19
682.1943429,14
297.0619574,8
348.0427491,8
416.9861796,13
296.6654368,14
348.0427491,8
296.6654368,14
504.8902264,15
504.8902264,15
391.4681704,14
348.0427491,8
487.191446,13
348.0427491,8
941.9034921,10
681.4073043,14
779.7926987,14
682.1943429,14
765.7037384,10
372.5252226,13
265.4618398,8
265.4618398,8
265.4618398,8
362.3777016,15
682.1943429,14
328.2095545,8
588.7939243,7
588.7939243,7
941.9034921,10
348.0427491,8
558.5159958,9
752.8629147,15
845.4463862,10
504.8902264,15
504.8902264,15
47.33069113,20
47.33069113,20
125.855513,20
305.2227204,14
296.6654368,14
563.4685346,7
434.5384475,13
434.5384475,13
89.18151381,23
157.6385342,23
328.0719302,13
145.1845638,16
47.33069113,20
125.855513,20
997.6695943,12
232.8311912,19
633.4902662,17
389.9017043,14
219.465405,9
597.5918841,13
649.7798057,13
175.1600609,12
328.0719302,13
520.6778961,7
715.197897,9
270.6079878,12
328.2095545,8
321.1712725,11
321.1712725,11
468.2575098,13
537.6214172,9
752.8629147,15
660.9864118,14
537.6214172,9
238.0093487,13
752.8629147,15
321.1712725,11
752.8629147,15
223.3561431,18
537.6214172,9
752.8629147,15
352.1469027,19
487.191446,13
241.5461592,16
358.233096,13
321.1712725,11
779.7926987,14
779.7926987,14
255.7129409,12
255.7129409,12
779.7926987,14
660.9864118,14
65.26568133,13
649.7798057,13
321.1712725,11
131.3117347,18
204.8028093,16
779.7926987,14
660.479885,10
152.6395666,11
660.9864118,14
260.1713512,13
580.4126859,14
571.1599664,15
376.6088936,13
779.7926987,14
232.8311912,19
765.7037384,10
391.2772505,8
747.5861379,14
391.4681704,14
973.6135137,11
844.2829124,9
892.3627264,12
844.2829124,9
828.1713202,11
358.233096,13
271.5694581,14
850.2552214,10
765.7037384,10
752.8629147,15
786.0860866,11
309.7113007,15
192.4285848,12
91.12851013,13
93.07548655,11
572.842535,10
767.840145,9
91.12851013,13
398.3735317,13
675.8808154,11
779.7926987,14
572.842535,10
241.0719606,22
625.9413422,14
145.0822358,13
487.1443375,10
660.9864118,14
38.59526785,13
853.9210233,12
707.9092593,9
169.2380547,13
487.191446,13
498.6838554,10
198.0218543,18
127.2884019,9
349.5810228,8
827.0530815,9
358.233096,13
298.5059966,15
358.233096,13
358.233096,13
558.5159958,9
358.233096,13
305.2227204,14
296.6654368,14
827.0530815,9
467.6779428,13
393.1338041,7
544.4862444,16
503.7750558,11
192.4285848,12
38.59526785,13
892.3627264,12
676.2515885,10
765.7037384,10
786.0860866,11
850.2552214,10
205.3786942,12
568.4780216,11
168.1728657,11
322.487751,13
205.3786942,12
391.2772505,8
444.5677432,14
804.49153,11
941.9034921,10
255.7129409,12
397.2966488,10
319.173028,7
44.34749514,9
779.7926987,14
125.855513,20
752.8629147,15
502.8330241,15
574.5476097,17
590.356508,10
329.7115197,12
129.3051063,19
192.4285848,12
182.9340754,19
333.448524,14
91.12851013,13
563.4685346,7
444.5677432,14
492.6675396,11
328.0719302,13
568.4780216,11
129.3051063,19
544.4862444,16
572.842535,10
47.33069113,20
358.233096,13
489.2270252,8
333.448524,14
322.487751,13
557.2256057,9
489.2270252,8
452.8944575,7
47.33069113,20
333.448524,14
489.2270252,8
125.855513,20
827.0530815,9
765.7037384,10
129.3051063,19
129.3051063,19
352.1469027,19
797.4410091,9
192.2274173,13
91.12851013,13
225.1410714,13
143.3877881,18
591.4660867,7
445.5041161,10
765.7037384,10
428.6206032,15
503.7750558,11
165.8020846,8
206.8806861,8
707.1187372,10
192.2274173,13
112.8655359,13
563.4685346,7
437.088621,17
129.3051063,19
321.1712725,11
91.12851013,13
342.5674455,18
537.6214172,9
645.1641071,9
342.5674455,18
523.2391815,15
152.6395666,11
386.7171138,17
590.356508,10
258.718881,13
341.8929202,21
204.8028093,16
303.1105855,14
216.1796902,19
746.5561494,10
128.897047,14
657.5582786,9
746.5561494,10
38.59526785,13
584.0850605,12
786.0860866,11
473.1493566,12
563.4685346,7
91.12851013,13
352.1469027,19
198.0218543,18
672.3977326,12
804.49153,11
797.4410091,9
362.6606839,14
445.5041161,10
746.5561494,10
65.26568133,13
352.1469027,19
192.2274173,13
328.2095545,8
379.184875,11
437.1160069,16
827.0530815,9
380.5682908,16
612.5387112,10
192.4285848,12
362.6606839,14
973.6135137,11
379.184875,11
393.1338041,7
503.7750558,11
379.184875,11
379.184875,11
779.340129,9
614.6999814,11
523.2391815,15
523.2391815,15
614.6999814,11
413.058964,10
329.7115197,12
393.1338041,7
503.7750558,11
264.7236356,13
92.28452333,20
118.8411567,19
892.3627264,12
300.6898067,13
192.2274173,13
212.2281665,13
358.233096,13
79.48962655,24
245.5593394,28
157.3502737,25
157.3502737,25
194.0608735,22
127.7759058,22
140.90324,28
325.0782072,26
79.48962655,24
36.60009509,23
79.48962655,24
157.3502737,25
325.0782072,26
494.7611913,16
325.0782072,26
325.0782072,26
233.227319,22
459.0038649,20
459.9805177,20
496.8879927,19
200.0087153,23
200.0087153,23
200.0087153,23
200.0087153,23
262.6150632,26
176.856341,29
445.3402531,30
321.7272063,27
176.856341,29
325.7022216,22
226.4033119,29
262.6150632,26
445.3402531,30
30.6088416,24
273.0457033,30
224.2217446,20
103.0249505,21
457.5124694,29
226.4033119,29
278.2022459,22
268.0989805,20
268.0989805,20
224.2217446,20
365.6131278,20
325.7022216,22
236.0569352,28
272.9946513,27
148.0308326,22
278.2022459,22
273.0457033,30
176.856341,29
445.3402531,30
106.0128283,23
272.9946513,27
176.856341,29
206.8907541,22
236.0569352,28
236.0569352,28
107.6352685,19
119.8670728,24
445.3402531,30
324.5848846,20
324.5558469,23
288.826884,27
262.6150632,26
324.5558469,23
242.6037449,29
255.4635427,23
262.6150632,26
347.1151531,22
255.4635427,23
262.6150632,26
324.5848846,20
255.4635427,23
365.6131278,20
324.5848846,20
159.8680515,23
176.856341,29
253.1873065,25
255.4635427,23
148.0308326,22
445.3402531,30
231.6536379,26
148.0308326,22
197.9466243,23
262.359279,25
259.5814326,29
445.3402531,30
242.6037449,29
278.2022459,22
106.0128283,23
445.0637378,28
197.9466243,23
148.0308326,22
106.0128283,23
272.9946513,27
211.7728725,20
403.5747328,29
288.826884,27
253.3091188,31
106.0128283,23
168.7151702,29
